Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	SumItems	TotalProb	DropChance	Term
Act 4 Bow A	3	26	1						bow6	1	bow9	3	bow12	6	bow15	8	bow18	8	bow21	6	bow24	3	bow27	1	Act 3 Bow C	110			36	146	0.7534	0
Act 4 Bow B	3	29	1						bow6	1	bow9	2	bow12	5	bow15	7	bow18	8	bow21	7	bow24	4	bow27	2	Act 4 Bow A	180			36	216	0.8333	0
Act 5 Bow A	3	32	1						bow9	1	bow12	3	bow15	6	bow18	8	bow21	8	bow24	6	bow27	3	bow30	1	Act 4 Bow B	270			36	306	0.8824	0
Act 5 Bow B	3	34	1						bow9	1	bow12	2	bow15	5	bow18	7	bow21	8	bow24	7	bow27	4	bow30	2	Act 5 Bow A	380			36	416	0.9135	0
Act 5 Bow C	3	36	1						bow9	1	bow12	2	bow15	5	bow18	7	bow21	8	bow24	7	bow27	4	bow30	2	Act 5 Bow B	500			36	536	0.9328	0
Act 1 (N) Bow A	3	38	1						bow12	1	bow15	2	bow18	5	bow21	7	bow24	8	bow27	7	bow30	4	bow33	2	Act 5 Bow C	630			36	666	0.9459	0
Act 1 (N) Bow B	3	40	1						bow15	1	bow18	2	bow21	5	bow24	7	bow27	8	bow30	7	bow33	4	bow36	2	Act 1 (N) Bow A	770			36	806	0.9553	0
Act 2 (N) Bow A	3	42	1						bow18	1	bow21	2	bow24	5	bow27	7	bow30	8	bow33	7	bow36	4	bow39	2	Act 1 (N) Bow B	920			36	956	0.9623	0
Act 2 (N) Bow B	3	44	1						bow21	1	bow24	2	bow27	5	bow30	7	bow33	8	bow36	7	bow39	4	bow42	2	Act 2 (N) Bow A	1070			36	1106	0.9675	0
Act 3 (N) Bow A	3	46	1						bow24	1	bow27	2	bow30	5	bow33	7	bow36	8	bow39	7	bow42	4	bow45	2	Act 2 (N) Bow B	1220			36	1256	0.9713	0
Act 3 (N) Bow B	3	48	1						bow27	1	bow30	2	bow33	5	bow36	7	bow39	8	bow42	7	bow45	4	bow48	2	Act 3 (N) Bow A	1370			36	1406	0.9744	0
Act 4 (N) Bow A	3	51	1						bow30	1	bow33	2	bow36	5	bow39	7	bow42	8	bow45	7	bow48	4	bow51	2	Act 3 (N) Bow B	1520			36	1556	0.9769	0
Act 4 (N) Bow B	3	54	1						bow33	1	bow36	2	bow39	5	bow42	7	bow45	8	bow48	7	bow51	4	bow54	2	Act 4 (N) Bow A	1670			36	1706	0.9789	0
Act 5 (N) Bow A	3	57	1						bow36	1	bow39	2	bow42	5	bow45	7	bow48	8	bow51	7	bow54	4	bow57	2	Act 4 (N) Bow B	1820			36	1856	0.9806	0
Act 5 (N) Bow B	3	60	1						bow39	1	bow42	2	bow45	5	bow48	7	bow51	8	bow54	7	bow57	4	bow60	2	Act 5 (N) Bow A	1970			36	2006	0.9821	0
Act 5 (N) Bow C	3	63	1						bow42	1	bow45	2	bow48	5	bow51	7	bow54	8	bow57	7	bow60	4	bow63	2	Act 5 (N) Bow B	2120			36	2156	0.9833	0
Act 1 (H) Bow A	3	66	1						bow45	1	bow48	2	bow51	5	bow54	7	bow57	8	bow60	7	bow63	4	bow66	2	Act 5 (N) Bow C	2270			36	2306	0.9844	0
Act 1 (H) Bow B	3	69	1						bow48	1	bow51	2	bow54	5	bow57	7	bow60	8	bow63	7	bow66	4	bow69	2	Act 1 (H) Bow A	2270			36	2306	0.9844	0
Act 2 (H) Bow A	3	71	1						bow51	1	bow54	2	bow57	5	bow60	7	bow63	8	bow66	7	bow69	4	bow72	2	Act 1 (H) Bow B	2270			36	2306	0.9844	0
Act 2 (H) Bow B	3	73	1						bow54	1	bow57	2	bow60	5	bow63	7	bow66	8	bow69	7	bow72	4	bow75	2	Act 2 (H) Bow A	2270			36	2306	0.9844	0
Act 3 (H) Bow A	3	75	1						bow57	1	bow60	2	bow63	5	bow66	7	bow69	8	bow72	7	bow75	4	bow78	2	Act 2 (H) Bow B	2270			36	2306	0.9844	0
Act 3 (H) Bow B	3	77	1						bow60	1	bow63	2	bow66	5	bow69	7	bow72	8	bow75	7	bow78	4	bow81	2	Act 3 (H) Bow A	2270			36	2306	0.9844	0
Act 4 (H) Bow A	3	79	1						bow63	1	bow66	2	bow69	5	bow72	7	bow75	8	bow78	7	bow81	4	bow84	2	Act 3 (H) Bow B	2270			36	2306	0.9844	0
Act 4 (H) Bow B	3	80	1						bow66	1	bow69	2	bow72	5	bow75	7	bow78	8	bow81	7	bow84	2	bow84	1	Act 4 (H) Bow A	2080			33	2113	0.9844	0
Act 5 (H) Bow A	3	82	1						bow69	1	bow72	2	bow75	5	bow78	7	bow81	8	bow84	7	bow87	2	bow87	1	Act 4 (H) Bow B	2080			33	2113	0.9844	0
Act 5 (H) Bow B	3	83	1						bow72	1	bow75	2	bow78	5	bow81	7	bow84	8	bow87	7	bow87	2	bow87	1	Act 5 (H) Bow A	2080			33	2113	0.9844	0
Act 5 (H) Bow C	3	85	1						bow75	1	bow78	2	bow81	5	bow84	7	bow87	8	bow87	1	bow87	1	bow87	1	Act 5 (H) Bow B	1655			26	1681	0.9845	0
Act 1 Magic A	4	0	1						tsc	2	isc	4	mp1	6																		0
Act 1 Magic B	4	5	1						tsc	2	isc	4	mp1	4	mp2	2																0
Act 1 Magic C	4	9	1						tsc	2	isc	4	mp1	2	mp2	4																0
Act 2 Magic A	4	12	1						tsc	2	isc	4	mp1	1	mp2	4	mp3	1														0
Act 2 Magic B	4	15	1						tsc	2	isc	4	mp1	1	mp2	3	mp3	2														0
Act 2 Magic C	4	18	1						tsc	2	isc	4	mp2	2	mp3	3	mp4	1														0
Act 3 Magic A	4	20	1						tsc	2	isc	4	mp3	4	mp4	2																0
Act 3 Magic B	4	22	1						tsc	2	isc	4	mp3	3	mp4	3																0
Act 3 Magic C	4	24	1						tsc	2	isc	4	mp3	2	mp4	3	mp5	1														0
Act 4 Magic A	4	26	1						tsc	2	isc	4	mp3	1	mp4	4	mp5	1														0
Act 4 Magic B	4	29	1						tsc	2	isc	4	mp4	4	mp5	2																0
Act 5 Magic A	4	32	1						tsc	2	isc	4	mp4	3	mp5	3																0
Act 5 Magic B	4	34	1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 5 Magic C	4	36	1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 1 (N) Magic A	4	38	1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 1 (N) Magic B	4	40	1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 2 (N) Magic A	4	42	1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 2 (N) Magic B	4	44	1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 3 (N) Magic A	4	46	1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 3 (N) Magic B	4	48	1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 4 (N) Magic A	4	51	1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 4 (N) Magic B	4	54	1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 5 (N) Magic A	4	57	1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 5 (N) Magic B	4	60	1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 5 (N) Magic C	4	63	1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 1 (H) Magic A	4	66	1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 1 (H) Magic B	4	69	1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 2 (H) Magic A	4	71	1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 2 (H) Magic B	4	73	1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 3 (H) Magic A	4	75	1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 3 (H) Magic B	4	77	1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 4 (H) Magic A	4	79	1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 4 (H) Magic B	4	80	1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 5 (H) Magic A	4	82	1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 5 (H) Magic B	4	83	1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 5 (H) Magic C	4	85	1						tsc	2	isc	4	mp4	2	mp5	4																0
Act 1 Good	5	0	1					4	Jewelry A	60	Chipped Gem	48	wss	4	New orbs	2	Fate Card Normal	8														0
Act 2 Good	5	12	1					5	Jewelry B	80	Chipped Gem	44	Flawed Gem	16	wss	4	New orbs	3	Fate Card Normal	12												0
Act 3 Good	5	18	1					14	Jewelry C	80	Chipped Gem	28	Flawed Gem	32	wss	4	Runes 3	12	Runes 4	12	Fate Card Normal	16	New orbs	4								0
Act 4 Good	5	26	1					28	Jewelry C	100	Normal Gem	22	Flawless Gem	56	Runes 5	28	Runes 6	14	wss	8	Fate Card Normal	20	New orbs	4								0
Act 5 Good	5	32	1					30	Jewelry C	100	Normal Gem	22	Flawless Gem	56	Runes 7	28	New orbs	5	wss	8	Fate Card Normal	20										0
Act 1 (N) Good	5	38	1					16	Jewelry C	60	Normal Gem	10	Flawless Gem	28	Runes 8	14	New orbs	6	wss	8	Fate Card Nightmare	10										0
Act 2 (N) Good	5	42	1					16	Jewelry C	60	Normal Gem	10	Flawless Gem	28	Runes 9	14	New orbs	6	wss	8	Fate Card Nightmare	10										0
Act 3 (N) Good	5	46	1					16	Jewelry C	60	Normal Gem	10	Flawless Gem	28	Runes 10	14	New orbs	6	wss	8	Fate Card Nightmare	10										0
Act 4 (N) Good	5	51	1					16	Jewelry C	60	Normal Gem	10	Flawless Gem	28	Runes 11	14	New orbs	6	wss	8	Fate Card Nightmare	10										0
Act 5 (N) Good	5	57	1					16	Jewelry C	60	Normal Gem	10	Flawless Gem	28	Runes 12 equiv	14	New orbs	6	wss	8	Fate Card Nightmare	10										0
Act 1 (H) Good	29	66	1					26	Jewelry C	120	Normal Gem	24	Flawless Gem	50	Perfect Gem	6	Runes 13 equiv	28	Map Tier 1	4	New orbs	6	wss	8	Fate Card World Drop Hell	24						0
Act 2 (H) Good	29	72	1					26	Jewelry C	120	Normal Gem	24	Flawless Gem	50	Perfect Gem	6	Runes 14 equiv	28	Map Tier 1	4	New orbs	6	wss	8	Fate Card World Drop Hell	24						0
Act 3 (H) Good	29	78	1					26	Jewelry C	120	Normal Gem	24	Flawless Gem	50	Perfect Gem	6	Runes 15 equiv	28	Map Tier 1	4	New orbs	6	wss	8	Fate Card World Drop Hell	24						0
Act 4 (H) Good	29	82	1					28	Jewelry C	120	Normal Gem	24	Flawless Gem	50	Perfect Gem	6	Runes 16 equiv	28	Map Tier 1	4	New orbs	6	wss	8	Fate Card A45 Hell	26						0
Act 5 (H) Good	29	85	1					28	Jewelry C	120	Normal Gem	24	Flawless Gem	50	Perfect Gem	6	Runes 17 equiv	28	Map Tier 1	4	New orbs	6	wss	8	Fate Card A45 Hell	26						0
Map Good t1	30	87	1						Jewelry C	140	Flawless Gem	44	Runes 17 equiv	28	T1 Map Drop	16	New orbs T1	6	Map currency T1	24	Mythic or Charms	5	Fate Card T1 Map	24	Essences T1 Map	28	Hatred Orbs T1 Map	12				0
Map Good t2	31	88	1						Jewelry C	140	Flawless Gem	41	Runes 17 equiv	28	T2 Map Drop	18	New orbs T2	6	Map currency T2	25	Mythic or Charms	8	Fate Card T2 Map	26	Essences T2 Map	30	Hatred Orbs T2 Map	13				0
Map Good t3	32	89	1						Jewelry C	140	Flawless Gem	39	Runes 17 equiv	28	T3 Map Drop	20	New orbs T3	7	Map currency T3	28	Mythic or Charms	9	Fate Card T3 Map	28	Essences T3 Map	32	Hatred Orbs T3 Map	14				0
Act 1 Chest A	6	0	4					173	gld	295	Act 1 Junk	295	Act 1 Equip A	196	Act 1 Good	39																0
Act 1 Chest B	6	5	4					173	gld	295	Act 1 Junk	295	Act 1 Equip B	196	Act 1 Good	39																0
Act 1 Chest C	6	9	4					145	gld	272	Act 1 Junk	218	Act 2 Junk	54	Act 1 Equip C	272	Act 1 Good	36														0
Act 2 Chest A	6	12	4					173	gld	295	Act 2 Junk	295	Act 2 Equip A	196	Act 2 Good	39																0
Act 2 Chest B	6	15	4					173	gld	295	Act 2 Junk	295	Act 2 Equip B	196	Act 2 Good	39																0
Act 2 Chest C	6	18	4					145	gld	272	Act 2 Junk	218	Act 3 Junk	54	Act 2 Equip C	272	Act 2 Good	36														0
Act 3 Chest A	6	20	4					173	gld	295	Act 3 Junk	295	Act 3 Equip A	196	Act 3 Good	39																0
Act 3 Chest B	6	22	4					173	gld	295	Act 3 Junk	295	Act 3 Equip B	196	Act 3 Good	39																0
Act 3 Chest C	6	24	4					173	gld	295	Act 3 Junk	295	Act 3 Equip C	196	Act 3 Good	39																0
Act 4 Chest A	6	26	4					173	gld	295	Act 4 Junk	295	Act 4 Equip A	196	Act 4 Good	39																0
Act 4 Chest B	6	28	4					173	gld	295	Act 4 Junk	295	Act 4 Equip B	196	Act 4 Good	39																0
Act 4 Chest C	6	30	4					173	gld	295	Act 4 Junk	295	Act 4 Equip B	196	Act 4 Good	39																0
Act 5 Chest A	6	32	4					173	gld	295	Act 5 Junk	295	Act 5 Equip A	196	Act 5 Good	39																0
Act 5 Chest B	6	34	4					173	gld	295	Act 5 Junk	295	Act 5 Equip B	196	Act 5 Good	39																0
Act 5 Chest C	6	36	4					173	gld	295	Act 5 Junk	295	Act 5 Equip B	196	Act 5 Good	39																0
Act 1 (N) Chest A	6	38	4					173	gld	295	Act 1 (N) Junk	295	Act 1 (N) Equip A	196	Act 1 (N) Good	39																0
Act 1 (N) Chest B	6	40	4					173	gld	295	Act 1 (N) Junk	295	Act 1 (N) Equip B	196	Act 1 (N) Good	39																0
Act 1 (N) Chest C	6	42	4					173	gld	295	Act 1 (N) Junk	295	Act 1 (N) Equip B	196	Act 1 (N) Good	39																0
Act 2 (N) Chest A	6	44	4					173	gld	295	Act 2 (N) Junk	295	Act 2 (N) Equip A	196	Act 2 (N) Good	39																0
Act 2 (N) Chest B	6	46	4					173	gld	295	Act 2 (N) Junk	295	Act 2 (N) Equip B	196	Act 2 (N) Good	39																0
Act 2 (N) Chest C	6	48	4					173	gld	295	Act 2 (N) Junk	295	Act 2 (N) Equip B	196	Act 2 (N) Good	39																0
Act 3 (N) Chest A	6	50	4					173	gld	295	Act 3 (N) Junk	295	Act 3 (N) Equip A	196	Act 3 (N) Good	39																0
Act 3 (N) Chest B	6	52	4					173	gld	295	Act 3 (N) Junk	295	Act 3 (N) Equip B	196	Act 3 (N) Good	39																0
Act 3 (N) Chest C	6	54	4					173	gld	295	Act 3 (N) Junk	295	Act 3 (N) Equip B	196	Act 3 (N) Good	39																0
Act 4 (N) Chest A	6	56	4					173	gld	295	Act 4 (N) Junk	295	Act 4 (N) Equip A	196	Act 4 (N) Good	39																0
Act 4 (N) Chest B	6	58	4					173	gld	295	Act 4 (N) Junk	295	Act 4 (N) Equip B	196	Act 4 (N) Good	39																0
Act 4 (N) Chest C	6	60	4					173	gld	295	Act 4 (N) Junk	295	Act 4 (N) Equip C	196	Act 4 (N) Good	39																0
Act 5 (N) Chest A	6	62	4					173	gld	295	Act 5 (N) Junk	295	Act 5 (N) Equip A	196	Act 5 (N) Good	39																0
Act 5 (N) Chest B	6	64	4					173	gld	295	Act 5 (N) Junk	295	Act 5 (N) Equip B	196	Act 5 (N) Good	39																0
Act 5 (N) Chest C	6	66	4					173	gld	295	Act 5 (N) Junk	295	Act 5 (N) Equip B	196	Act 5 (N) Good	39																0
Act 1 (H) Chest A	6	68	4					173	gld	295	Act 1 (H) Junk	295	Act 1 (H) Equip A	196	Act 1 (H) Good	39																0
Act 1 (H) Chest B	6	70	4					173	gld	295	Act 1 (H) Junk	295	Act 1 (H) Equip B	196	Act 1 (H) Good	39																0
Act 1 (H) Chest C	6	71	4					173	gld	295	Act 1 (H) Junk	295	Act 1 (H) Equip B	196	Act 1 (H) Good	39																0
Act 2 (H) Chest A	6	72	4					173	gld	295	Act 2 (H) Junk	295	Act 2 (H) Equip A	196	Act 2 (H) Good	39																0
Act 2 (H) Chest B	6	74	4					173	gld	295	Act 2 (H) Junk	295	Act 2 (H) Equip B	196	Act 2 (H) Good	39																0
Act 2 (H) Chest C	6	75	4					173	gld	295	Act 2 (H) Junk	295	Act 2 (H) Equip B	196	Act 2 (H) Good	39																0
Act 3 (H) Chest A	6	76	4					173	gld	295	Act 3 (H) Junk	295	Act 3 (H) Equip A	196	Act 3 (H) Good	39																0
Act 3 (H) Chest B	6	78	4					173	gld	295	Act 3 (H) Junk	295	Act 3 (H) Equip B	196	Act 3 (H) Good	39																0
Act 3 (H) Chest C	6	79	4					173	gld	295	Act 3 (H) Junk	295	Act 3 (H) Equip B	196	Act 3 (H) Good	39																0
Act 4 (H) Chest A	6	80	4					173	gld	295	Act 4 (H) Junk	295	Act 4 (H) Equip A	196	Act 4 (H) Good	39																0
Act 4 (H) Chest B	6	81	4					173	gld	295	Act 4 (H) Junk	295	Act 4 (H) Equip B	196	Act 4 (H) Good	39																0
Act 4 (H) Chest C	6	82	4					173	gld	295	Act 4 (H) Junk	295	Act 4 (H) Equip B	196	Act 4 (H) Good	39																0
Act 5 (H) Chest A	6	83	4					173	gld	295	Act 5 (H) Junk	295	Act 5 (H) Equip A	196	Act 5 (H) Good	39																0
Act 5 (H) Chest B	6	84	4					173	gld	295	Act 5 (H) Junk	295	Act 5 (H) Equip B	196	Act 5 (H) Good	39																0
Act 5 (H) Chest C	6	85	4					173	gld	295	Act 5 (H) Junk	295	Act 5 (H) Equip B	196	Act 5 (H) Good	39																0
Act 1 H2H A	7	0	1					95	gld	316	Act 1 Equip A	241	Act 1 Junk	316	Act 1 Good	30																0
Act 1 H2H B	7	5	1					95	gld	316	Act 1 Equip B	241	Act 1 Junk	316	Act 1 Good	30																0
Act 1 H2H C	7	9	1					95	gld	316	Act 1 Equip C	241	Act 1 Junk	316	Act 1 Good	30																0
Act 2 H2H A	7	12	1					95	gld	316	Act 2 Equip A	241	Act 2 Junk	316	Act 2 Good	30																0
Act 2 H2H B	7	15	1					95	gld	316	Act 2 Equip B	241	Act 2 Junk	316	Act 2 Good	30																0
Act 2 H2H C	7	18	1					95	gld	316	Act 2 Equip C	241	Act 2 Junk	316	Act 3 Good	30																0
Act 3 H2H A	7	20	1					95	gld	316	Act 3 Equip A	241	Act 3 Junk	316	Act 3 Good	30																0
Act 3 H2H B	7	22	1					95	gld	316	Act 3 Equip B	241	Act 3 Junk	316	Act 3 Good	30																0
Act 3 H2H C	7	24	1					95	gld	316	Act 3 Equip C	241	Act 3 Junk	316	Act 3 Good	30																0
Act 4 H2H A	7	26	1					95	gld	316	Act 4 Equip A	241	Act 4 Junk	316	Act 4 Good	30																0
Act 4 H2H B	7	29	1					95	gld	316	Act 4 Equip B	241	Act 4 Junk	316	Act 4 Good	30																0
Act 5 H2H A	7	32	1					95	gld	316	Act 5 Equip A	241	Act 5 Junk	316	Act 5 Good	30																0
Act 5 H2H B	7	34	1					95	gld	316	Act 5 Equip B	241	Act 5 Junk	316	Act 5 Good	30																0
Act 5 H2H C	7	36	1					95	gld	316	Act 5 Equip C	241	Act 5 Junk	316	Act 5 Good	30																0
Act 1 (N) H2H A	7	38	1					95	gld	316	Act 1 (N) Equip A	241	Act 1 (N) Junk	316	Act 1 (N) Good	30																0
Act 1 (N) H2H B	7	40	1					95	gld	316	Act 1 (N) Equip B	241	Act 1 (N) Junk	316	Act 1 (N) Good	30																0
Act 1 (N) H2H C	7	41	1					95	gld	316	Act 1 (N) Equip B	241	Act 1 (N) Junk	316	Act 1 (N) Good	30																0
Act 2 (N) H2H A	7	42	1					95	gld	316	Act 2 (N) Equip A	241	Act 2 (N) Junk	316	Act 2 (N) Good	30																0
Act 2 (N) H2H B	7	44	1					95	gld	316	Act 2 (N) Equip B	241	Act 2 (N) Junk	316	Act 2 (N) Good	30																0
Act 2 (N) H2H C	7	45	1					95	gld	316	Act 2 (N) Equip B	241	Act 2 (N) Junk	316	Act 2 (N) Good	30																0
Act 3 (N) H2H A	7	46	1					95	gld	316	Act 3 (N) Equip A	241	Act 3 (N) Junk	316	Act 3 (N) Good	30																0
Act 3 (N) H2H B	7	48	1					95	gld	316	Act 3 (N) Equip B	241	Act 3 (N) Junk	316	Act 3 (N) Good	30																0
Act 3 (N) H2H C	7	50	1					95	gld	316	Act 3 (N) Equip B	241	Act 3 (N) Junk	316	Act 3 (N) Good	30																0
Act 4 (N) H2H A	7	51	1					95	gld	316	Act 4 (N) Equip A	241	Act 4 (N) Junk	316	Act 4 (N) Good	30																0
Act 4 (N) H2H B	7	54	1					95	gld	316	Act 4 (N) Equip B	241	Act 4 (N) Junk	316	Act 4 (N) Good	30																0
Act 5 (N) H2H A	7	57	1					95	gld	316	Act 5 (N) Equip A	241	Act 5 (N) Junk	316	Act 5 (N) Good	30																0
Act 5 (N) H2H B	7	60	1					95	gld	316	Act 5 (N) Equip B	241	Act 5 (N) Junk	316	Act 5 (N) Good	30																0
Act 5 (N) H2H C	7	62	1					95	gld	316	Act 5 (N) Equip C	241	Act 5 (N) Junk	316	Act 5 (N) Good	30																0
Act 1 (H) H2H A	7	63	1					95	gld	316	Act 1 (H) Equip A	241	Act 1 (H) Junk	316	Act 1 (H) Good	30																0
Act 1 (H) H2H B	7	66	1					95	gld	316	Act 1 (H) Equip B	241	Act 1 (H) Junk	316	Act 1 (H) Good	30																0
Act 1 (H) H2H C	7	68	1					95	gld	316	Act 1 (H) Equip B	241	Act 1 (H) Junk	316	Act 1 (H) Good	30																0
Act 2 (H) H2H A	7	69	1					95	gld	316	Act 2 (H) Equip A	241	Act 1 (H) Junk	316	Act 2 (H) Good	30																0
Act 2 (H) H2H B	7	71	1					95	gld	316	Act 2 (H) Equip B	241	Act 1 (H) Junk	316	Act 2 (H) Good	30																0
Act 2 (H) H2H C	7	73	1					95	gld	316	Act 2 (H) Equip B	241	Act 1 (H) Junk	316	Act 2 (H) Good	30																0
Act 3 (H) H2H A	7	74	1					95	gld	316	Act 3 (H) Equip A	241	Act 1 (H) Junk	316	Act 3 (H) Good	30																0
Act 3 (H) H2H B	7	76	1					95	gld	316	Act 3 (H) Equip B	241	Act 1 (H) Junk	316	Act 3 (H) Good	30																0
Act 3 (H) H2H C	7	77	1					95	gld	316	Act 3 (H) Equip B	241	Act 1 (H) Junk	316	Act 3 (H) Good	30																0
Act 4 (H) H2H A	7	79	1					95	gld	316	Act 4 (H) Equip A	241	Act 1 (H) Junk	316	Act 4 (H) Good	30																0
Act 4 (H) H2H B	7	80	1					95	gld	316	Act 4 (H) Equip B	241	Act 1 (H) Junk	316	Act 4 (H) Good	30																0
Act 5 (H) H2H A	7	82	1					95	gld	316	Act 5 (H) Equip A	241	Act 1 (H) Junk	316	Act 5 (H) Good	30																0
Act 5 (H) H2H B	7	83	1					95	gld	316	Act 5 (H) Equip B	241	Act 1 (H) Junk	316	Act 5 (H) Good	30																0
Act 5 (H) H2H C	7	85	1					95	gld	316	Act 5 (H) Equip C	241	Act 1 (H) Junk	316	Act 5 (H) Good	30																0
Map H2H t1	21	85	1					95	gld	316	Act 5 (H) Equip C	241	Act 1 (H) Junk	316	Map Good t1	30																0
Map H2H t2	21	85	1					95	gld	316	Act 5 (H) Equip C	241	Act 1 (H) Junk	316	Map Good t2	30																0
Map H2H t3	21	85	1					95	gld	316	Act 5 (H) Equip C	241	Act 1 (H) Junk	316	Map Good t3	30																0
Act 1 Cast A	8	0	1					95	gld	271	Act 1 Equip A	226	Act 1 Junk	271	Act 1 Good	30	Act 1 Magic A	105														0
Act 1 Cast B	8	5	1					95	gld	271	Act 1 Equip B	226	Act 1 Junk	271	Act 1 Good	30	Act 1 Magic B	105														0
Act 1 Cast C	8	9	1					95	gld	271	Act 1 Equip C	226	Act 1 Junk	271	Act 1 Good	30	Act 1 Magic C	105														0
Act 2 Cast A	8	12	1					95	gld	271	Act 2 Equip A	226	Act 2 Junk	271	Act 2 Good	30	Act 2 Magic A	105														0
Act 2 Cast B	8	15	1					95	gld	271	Act 2 Equip B	226	Act 2 Junk	271	Act 2 Good	30	Act 2 Magic B	105														0
Act 2 Cast C	8	18	1					95	gld	271	Act 2 Equip C	226	Act 2 Junk	271	Act 3 Good	30	Act 2 Magic C	105														0
Act 3 Cast A	8	20	1					95	gld	271	Act 3 Equip A	226	Act 3 Junk	271	Act 3 Good	30	Act 3 Magic A	105														0
Act 3 Cast B	8	22	1					95	gld	271	Act 3 Equip B	226	Act 3 Junk	271	Act 3 Good	30	Act 3 Magic B	105														0
Act 3 Cast C	8	24	1					95	gld	271	Act 3 Equip C	226	Act 3 Junk	271	Act 3 Good	30	Act 3 Magic C	105														0
Act 4 Cast A	8	26	1					95	gld	271	Act 4 Equip A	226	Act 4 Junk	271	Act 4 Good	30	Act 4 Magic A	105														0
Act 4 Cast B	8	29	1					95	gld	271	Act 4 Equip B	226	Act 4 Junk	271	Act 4 Good	30	Act 4 Magic B	105														0
Act 5 Cast A	8	32	1					95	gld	271	Act 5 Equip A	226	Act 5 Junk	271	Act 5 Good	30	Act 5 Magic A	105														0
Act 5 Cast B	8	34	1					95	gld	271	Act 5 Equip B	226	Act 5 Junk	271	Act 5 Good	30	Act 5 Magic B	105														0
Act 5 Cast C	8	36	1					95	gld	271	Act 5 Equip C	226	Act 5 Junk	271	Act 5 Good	30	Act 5 Magic C	105														0
Act 1 (N) Cast A	8	38	1					95	gld	271	Act 1 (N) Equip A	226	Act 1 (N) Junk	271	Act 1 (N) Good	30	Act 1 (N) Magic A	105														0
Act 1 (N) Cast B	8	40	1					95	gld	271	Act 1 (N) Equip B	226	Act 1 (N) Junk	271	Act 1 (N) Good	30	Act 1 (N) Magic B	105														0
Act 1 (N) Cast C	8	41	1					95	gld	271	Act 1 (N) Equip B	226	Act 1 (N) Junk	271	Act 1 (N) Good	30	Act 1 (N) Magic B	105														0
Act 2 (N) Cast A	8	42	1					95	gld	271	Act 2 (N) Equip A	226	Act 2 (N) Junk	271	Act 2 (N) Good	30	Act 2 (N) Magic A	105														0
Act 2 (N) Cast B	8	44	1					95	gld	271	Act 2 (N) Equip B	226	Act 2 (N) Junk	271	Act 2 (N) Good	30	Act 2 (N) Magic B	105														0
Act 2 (N) Cast C	8	45	1					95	gld	271	Act 2 (N) Equip B	226	Act 2 (N) Junk	271	Act 2 (N) Good	30	Act 2 (N) Magic B	105														0
Act 3 (N) Cast A	8	46	1					95	gld	271	Act 3 (N) Equip A	226	Act 3 (N) Junk	271	Act 3 (N) Good	30	Act 3 (N) Magic A	105														0
Act 3 (N) Cast B	8	48	1					95	gld	271	Act 3 (N) Equip B	226	Act 3 (N) Junk	271	Act 3 (N) Good	30	Act 3 (N) Magic B	105														0
Act 3 (N) Cast C	8	50	1					95	gld	271	Act 3 (N) Equip B	226	Act 3 (N) Junk	271	Act 3 (N) Good	30	Act 3 (N) Magic B	105														0
Act 4 (N) Cast A	8	51	1					95	gld	271	Act 4 (N) Equip A	226	Act 4 (N) Junk	271	Act 4 (N) Good	30	Act 4 (N) Magic A	105														0
Act 4 (N) Cast B	8	54	1					95	gld	271	Act 4 (N) Equip B	226	Act 4 (N) Junk	271	Act 4 (N) Good	30	Act 4 (N) Magic B	105														0
Act 5 (N) Cast A	8	57	1					95	gld	271	Act 5 (N) Equip A	226	Act 5 (N) Junk	271	Act 5 (N) Good	30	Act 5 (N) Magic A	105														0
Act 5 (N) Cast B	8	60	1					95	gld	271	Act 5 (N) Equip B	226	Act 5 (N) Junk	271	Act 5 (N) Good	30	Act 5 (N) Magic B	105														0
